url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label
bosnayapi,3531,1215,49,41,Google Trust Services LLC,0
fizyopt,1024,69,23,67,Let's Encrypt,0
franke,8618,146,18,72,Let's Encrypt,0
e-yonetim,4859,253,4,86,Let's Encrypt,0
mescainsaat,1633,192,39,51,Let's Encrypt,0
iksasigorta,967,127,11,79,Let's Encrypt,0
renar,6562,741,1,89,Let's Encrypt,0
ewim,795,1029,8,82,Google Trust Services LLC,0
bulvardent,2320,235,66,24,"cPanel, Inc.",0
merdasansor,4967,145,16,74,Let's Encrypt,0
tatilvillasi,3706,1405,33,57,Google Trust Services LLC,0
caddetv,596,133,4,361,Isimtescil Bilisim A.S.,0
cesit,1719,106,5,85,Let's Encrypt,0
marmarapet,1071,388,44,321,"Cloudflare, Inc.",0
karmar,2746,904,285,78,"GoDaddy.com, Inc.",0
artife,6272,1031,171,194,Sectigo Limited,0
hidrojen,2958,328,34,56,Let's Encrypt,0
newhotel,927,167,19,71,Let's Encrypt,0
desteklab,1810,14,5,85,Let's Encrypt,0
edebalikirtasiye,1295,164,32,58,Let's Encrypt,0
imm,732,362,44,46,Google Trust Services LLC,0
gezievi,4981,496,15,75,Let's Encrypt,0
istanbulvatangazetesi,443,1381,-1,-1,,0
bakkalim,4169,942,9,81,Let's Encrypt,0
aycat,4014,1,53,37,Let's Encrypt,0
qp,1933,987,2,88,Google Trust Services LLC,0
madgrup,1760,64,17,73,Let's Encrypt,0
eshsaglik,1353,106,252,129,Sectigo Limited,0
dunyacelik,2807,1574,50,40,Let's Encrypt,0
egemoda,942,152,-1,-1,,0
servista,1368,821,37,53,Let's Encrypt,0
faida,2017,173,12,78,Let's Encrypt,0
ycl,4616,496,-1,-1,,0
ufukmedya,4676,1166,20,70,Let's Encrypt,0
egebimtes,9213,282,66,268,Sectigo Limited,0
mozaika,6006,202,18,72,Let's Encrypt,0
jetdijital,974,120,5,85,Let's Encrypt,0
yuksel,9797,62,10,80,"cPanel, Inc.",0
akyoltekstil,3584,66,48,42,Let's Encrypt,0
monolith,196,168,-1,-1,,0
almbilgisayar,6783,155,-1,-1,,0
gosteri,7095,1669,15,75,Sectigo Limited,0
alikurtay,1695,495,24,66,Google Trust Services LLC,0
nutas,893,931,3,87,Let's Encrypt,0
kursan,9753,837,11,79,Let's Encrypt,0
fellasfoods,2737,183,10,80,Let's Encrypt,0
farukcetin,2237,1779,6,84,Let's Encrypt,0
goodkids,535,194,27,63,Let's Encrypt,0
focusgrafik,2676,244,-1,-1,,0
yildizlarorganizasyon,7332,337,42,48,Let's Encrypt,0
konyapostasi,6839,99,58,32,Let's Encrypt,0
gulsahozdemir,548,181,23,67,Google Trust Services LLC,0
hakanmakina,4980,132,54,36,Let's Encrypt,0
aniltarim,1358,101,58,32,Let's Encrypt,0
tahayasinkoksal,1680,145,58,32,Let's Encrypt,0
ermismobilya,6556,382,32,58,Let's Encrypt,0
rimas,2397,158,-1,-1,,0
happygarden,700,28,48,42,Google Trust Services LLC,0
birkanantik,1501,-42,-1,-1,,0
investa,3683,698,-1,-1,,0
putzmeister,6433,140,-1,-1,,0
senrot,3774,242,8,82,Let's Encrypt,0
sirdus,7470,199,65,25,"cPanel, Inc.",0
altraoptik,6709,594,5,85,"cPanel, Inc.",0
sedayyalitim,533,196,45,45,Let's Encrypt,0
starmedyaajans,4202,179,279,85,"Cloudflare, Inc.",0
suptex,8512,1347,-1,-1,,0
hasanguclu,1564,261,-1,-1,,0
ybs-kim,6573,-1,-1,-1,,0
ozgunet,1298,161,-1,-1,,0
asvera,3280,371,50,40,Let's Encrypt,0
trustnet,3914,1563,24,66,Let's Encrypt,0
