url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label,dlPhishingScore
bosnayapi,3531,1215,49,41,Google Trust Services LLC,0,0.0011089203
fizyopt,1024,69,23,67,Let's Encrypt,0,0.05366838
franke,8618,146,18,72,Let's Encrypt,0,0.5537752
e-yonetim,4859,253,4,86,Let's Encrypt,0,0.30477276
mescainsaat,1633,192,39,51,Let's Encrypt,0,0.0030631372
iksasigorta,967,127,11,79,Let's Encrypt,0,0.04522083
renar,6562,741,1,89,Let's Encrypt,0,0.01425756
ewim,795,1029,8,82,Google Trust Services LLC,0,0.15161625
bulvardent,2320,235,66,24,"cPanel, Inc.",0,0.06145911
merdasansor,4967,145,16,74,Let's Encrypt,0,0.0019001089
tatilvillasi,3706,1405,33,57,Google Trust Services LLC,0,0.10237311
caddetv,596,133,4,361,Isimtescil Bilisim A.S.,0,0.7356528
cesit,1719,106,5,85,Let's Encrypt,0,0.015285268
marmarapet,1071,388,44,321,"Cloudflare, Inc.",0,0.011379811
karmar,2746,904,285,78,"GoDaddy.com, Inc.",0,0.00989855
artife,6272,1031,171,194,Sectigo Limited,0,0.07673421
hidrojen,2958,328,34,56,Let's Encrypt,0,0.021897592
newhotel,927,167,19,71,Let's Encrypt,0,0.02020293
desteklab,1810,14,5,85,Let's Encrypt,0,0.82748926
edebalikirtasiye,1295,164,32,58,Let's Encrypt,0,0.00465623
imm,732,362,44,46,Google Trust Services LLC,0,0.09229236
gezievi,4981,496,15,75,Let's Encrypt,0,0.017588595
istanbulvatangazetesi,443,1381,-1,-1,,0,0.00627514
bakkalim,4169,942,9,81,Let's Encrypt,0,0.16089126
aycat,4014,1,53,37,Let's Encrypt,0,0.014886416
qp,1933,987,2,88,Google Trust Services LLC,0,0.14806503
madgrup,1760,64,17,73,Let's Encrypt,0,0.0022006345
eshsaglik,1353,106,252,129,Sectigo Limited,0,0.014486455
dunyacelik,2807,1574,50,40,Let's Encrypt,0,0.0044092406
egemoda,942,152,-1,-1,,0,0.013091222
servista,1368,821,37,53,Let's Encrypt,0,0.032886893
faida,2017,173,12,78,Let's Encrypt,0,0.29531345
ycl,4616,496,-1,-1,,0,0.06819755
